"Species.No.","Common.Name","Latin.Name","LATmin","LATmax","LATextent","areaKM2"
602,"black walnut","Juglans nigra",28.5849533387285,45.2204572068603,16.6355038681318,2305935.92259226
611,"sweetgum","Liquidambar styraciflua",27.4555414961844,41.2484332194343,13.7928917232499,1424744.07515431
621,"yellow poplar","Liriodendron tulipifera",28.4758729331158,44.6647706396634,16.1888977065476,1615025.72293776
641,"osage orange","Maclura pomifera",29.0339118980409,34.6710295638796,5.63711766583869,120109.493503145
651,"cucumbertree","Magnolia acuminata",30.7259571881117,43.4407112091203,12.7147540210086,505226.732726146
652,"southern magnolia","Magnolia grandiflora",27.1421245366189,35.6747539576357,8.53262942101675,395121.020779662
653,"sweetbay","Magnolia virginiana",25.7927704800088,42.7603854993141,16.9676150193053,707534.444445953
654,"bigleaf magnolia","Magnolia macrophylla",30.464125494885,39.1187271081327,8.65460161324777,157436.878984639
682,"red mulberry","Morus rubra",25.7006959049195,44.9867843533965,19.286088448477,2812889.5576067
691,"water tupelo","Nyssa aquatica",29.3362162325719,39.1841335844549,9.84791735188303,469746.689365092
692,"Ogechee tupelo","Nyssa ogeche",29.5056728308178,32.8070837874682,3.30141095665036,80266.9391588091
693,"blackgum","Nyssa sylvatica",26.147393058465,44.8394931386816,18.6921000802166,1980968.70536246
694,"swamp tupelo","Nyssa sylvatica var. biflora",29.483112927527,32.8365121685943,3.35339924106737,80065.3287866578
701,"eastern hophornbeam","Ostrya virginiana",13.7015878388342,50.3565862326798,36.6549983938456,3207296.22005708
711,"sourwood","Oxydendrum arboreum",29.9332532598622,40.5547932427002,10.621539982838,723117.565028169
721,"redbay","Persea borbonia",25.1202832775385,38.5879245969517,13.4676413194132,483737.034194818
731,"sycamore","Platanus occidentalis",28.3520187413812,44.6916618197929,16.3396430784118,2581589.89069172
741,"balsam poplar","Populus balsamifera",38.5886653628297,69.2419275311653,30.6532621683355,5934568.18767902
742,"eastern cottonwood","Populus deltoides",28.1154825198669,52.0868007439619,23.9713182240949,3850397.36380941
743,"bigtooth aspen","Populus grandidentata",35.1337239824273,49.9932207861606,14.8594968037333,2275643.9414788
746,"quaking aspen","Populus tremuloides",20.7741090552309,69.2737967900543,48.4996877348235,7939304.866031
761,"pin cherry","Prunus pensylvanica",34.8080214604805,62.3117901517353,27.5037686912548,4793674.65348237
762,"black cherry","Prunus serotina",14.5638409837362,47.8594016830012,33.295560699265,3638419.42121742
763,"chokecherry","Prunus virginiana",30.2409496001239,61.5430899156962,31.3021403155723,6263232.42202062
766,"wild plum","Prunus americana",28.6237862602431,50.0935724176633,21.4697861574201,2472162.78542712
802,"white oak","Quercus alba",29.6324079385715,46.4513361550109,16.8189282164394,2572862.41820077
804,"swamp white oak","Quercus bicolor",35.1738279507956,46.360576858882,11.1867489080864,870875.718442505
806,"scarlet oak","Quercus coccinea",31.2237928781408,44.1225966224138,12.898803744273,934914.265010885
808,"Durand oak","Quercus sinuata",28.4423233208803,35.6363411397199,7.19401781883962,179974.616132716
809,"northern pin oak","Quercus ellipsoidalis",40.2824325408782,48.6654051701913,8.38297262931308,285848.115777232
812,"southern red oak","Quercus falcata",28.8894956890719,40.7398796065322,11.8503839174604,1339564.8485024
813,"cherrybark oak","Quercus pagoda",28.9357311582651,38.4529318404349,9.51720068216987,722366.717210821
816,"bear oak/scrub oak","Quercus ilicifolia",35.2238120545539,44.8427352780426,9.61892322348869,207607.482338886
